"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"BarrelJack_CUI_PJ-063AH_Horizontal_CircularHoles";1;"Barrel_Jack";;;
2;"BAR2,BAR1";"HDSP-4830";2;"HDSP-4830_2";;;
3;"U1,U2";"DIP-20_W7.62mm_Socket";2;"74LS541";;;
4;"J1";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10_Male";;;
5;"C1";"C_Disc_D6.0mm_W2.5mm_P5.00mm";1;".1uF";;;
6;"C2,C3";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;".1uF";;;
7;"Q1";"TO-92_Inline";1;"BC547";;;
8;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"100K";;;
9;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"1K";;;
10;"RN1,RN2";"R_Array_SIP9";2;"R_Network08";;;
11;"D1";"D_DO-34_SOD68_P7.62mm_Horizontal";1;"GP0240";;;
12;"U3";"TO-220-3_Vertical";1;"L7805";;;
